Unnamed: 0,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector,Industry
1659,273640,KR7273640003,와이엠텍,KOSDAQ,벤처기업부,6860,1,270,4.1,6630,7100,6630,18070,124946365,75226760000,10966000,KSQ,벤처기업부,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1660,031820,KR7031820004,아이티센씨티에스,KOSPI,,6190,1,240,4.03,6000,6190,5960,22423,136155040,74930853740,12105146,STK,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
1661,317830,KR7317830008,에스피시스템스,KOSDAQ,벤처기업부,6950,1,720,11.56,6340,7000,6340,60813,411621375,74878035100,10773818,KSQ,벤처기업부,특수 목적용 기계 제조업
1662,35320K,KR735320K011,대덕전자1우,KOSPI,,35700,1,2050,6.09,35500,36000,33650,19571,683016875,74810028300,2095519,STK,,
1663,058400,KR7058400003,KNN,KOSDAQ,우량기업부,564,1,9,1.62,565,565,553,200624,112175097,74690362080,132429720,KSQ,우량기업부,텔레비전 방송업
1664,037440,KR7037440005,희림,KOSDAQ,우량기업부,5360,1,640,13.56,5610,6130,5290,3830573,22035033800,74624466000,13922475,KSQ,우량기업부,"건축기술, 엔지니어링 및 관련 기술 서비스업"
1665,102370,KR7102370004,케이옥션,KOSDAQ,기술성장기업부,2740,1,95,3.59,2690,2760,2660,18096,49009670,74608035400,27229210,KSQ,기술성장기업부,상품 중개업
1666,005750,KR7005750005,대림바스,KOSPI,,4490,1,95,2.16,4550,4550,4405,10238,45736454,74499157600,16592240,STK,,"내화, 비내화 요업제품 제조업"
1667,900250,KYG2115T1076,크리스탈신소재,KOSDAQ,외국기업(소속부없음),519,0,0,0.0,0,0,0,0,0,74351942076,143260004,KSQ,외국기업(소속부없음),기타 금융업
1668,032540,KR7032540007,TJ미디어,KOSDAQ,우량기업부,3555,1,5,0.14,3695,3695,3500,3570,12590530,74290303215,20897413,KSQ,우량기업부,영상 및 음향기기 제조업
1669,187420,KR7187420005,HLB제넥스,KOSDAQ,기술성장기업부,2280,1,25,1.11,2260,2320,2250,29007,66196595,74223772080,32554286,KSQ,기술성장기업부,기초 의약물질 제조업
1670,048430,KR7048430003,유라테크,KOSDAQ,우량기업부,6440,1,210,3.37,6240,6460,6240,14148,90244000,74188800000,11520000,KSQ,우량기업부,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1671,096350,KR7096350004,대창솔루션,KOSDAQ,벤처기업부,2010,1,149,8.01,1900,2025,1900,245563,484053439,74078071620,36854762,KSQ,벤처기업부,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1672,085310,KR7085310001,엔케이,KOSPI,,9980,1,630,6.74,9360,10050,9360,29187,288616920,74032378520,7418074,STK,,"구조용 금속제품, 탱크 및 증기발생기 제조업"
1673,208140,KR7208140004,정다운,KOSDAQ,우량기업부,2265,1,25,1.12,2260,2280,2235,69060,155725948,74029817190,32684246,KSQ,우량기업부,"도축, 육류 가공 및 저장 처리업"
1674,091120,KR7091120006,이엠텍,KOSDAQ,중견기업부,4315,1,45,1.05,4310,4430,4210,52402,225395615,73928618840,17132936,KSQ,중견기업부,전자부품 제조업
1675,900260,HK0000295359,로스웰,KOSDAQ,외국기업(소속부없음),1605,2,-6,-0.37,1595,1619,1595,915,1473859,73877678130,46029706,KSQ,외국기업(소속부없음),기타 금융업
1676,299660,KR7299660001,셀리드,KOSDAQ,기술성장기업부,2495,1,100,4.18,2440,2560,2405,123884,304254054,73609927615,29502977,KSQ,기술성장기업부,자연과학 및 공학 연구개발업
1677,263800,KR7263800005,데이타솔루션,KOSDAQ,중견기업부,4525,1,200,4.62,4355,4580,4355,39748,177301385,73419844500,16225380,KSQ,중견기업부,기계장비 및 관련 물품 도매업
1678,014470,KR7014470009,부방,KOSDAQ,벤처기업부,1221,1,52,4.45,1175,1246,1172,86940,105894274,73323809460,60052260,KSQ,벤처기업부,부동산 임대 및 공급업
1679,056360,KR7056360001,코위버,KOSDAQ,벤처기업부,7480,1,640,9.36,7150,7710,7090,162408,1203403140,73280064000,9796800,KSQ,벤처기업부,통신 및 방송 장비 제조업
1680,041910,KR7041910001,폴라리스AI파마,KOSDAQ,우량기업부,5510,1,230,4.36,5360,5690,5300,74082,407279470,73191258500,13283350,KSQ,우량기업부,의약품 제조업
1681,391710,KR7391710001,코닉오토메이션,KOSDAQ,벤처기업부,1716,1,124,7.79,1600,1718,1600,71411,120284222,73136726520,42620470,KSQ,벤처기업부,특수 목적용 기계 제조업
1682,373200,KR7373200005,엑스플러스,KOSDAQ,벤처기업부,2915,1,265,10.0,2700,2915,2675,84955,236745085,73001035855,25043237,KSQ,벤처기업부,그외 기타 제품 제조업
1683,004720,KR7004720009,팜젠사이언스,KOSPI,,3215,1,95,3.04,3125,3275,3105,57552,183693905,72833783475,22654365,STK,,의약품 제조업
1684,241690,KR7241690007,유니테크노,KOSDAQ,우량기업부,2975,1,185,6.63,2815,2980,2815,31766,91754816,72800350350,24470706,KSQ,우량기업부,자동차 신품 부품 제조업
